"Município","Pedestre","Ciclista","Motociclista","triciclo","automóvel","caminhonete","transp_pesado","ônibus","Outros","Total"
"150460 Mocajuba",0,0,0,0,0,0,0,0,4,4
"150470 Moju",1,0,0,0,0,0,0,0,12,13
"150475 Mojuí dos Campos",1,0,0,0,1,0,0,0,0,2
"150480 Monte Alegre",0,0,5,0,0,0,0,0,1,6
"150490 Muaná",0,0,0,0,0,0,0,0,1,1
"150495 Nova Esperança do Piriá",1,0,2,0,0,0,1,0,0,4
"150497 Nova Ipixuna",1,0,0,0,1,0,0,0,1,3
"150500 Nova Timboteua",0,0,0,0,0,0,0,0,1,1
"150503 Novo Progresso",2,0,8,0,1,0,3,0,2,16
"150506 Novo Repartimento",2,1,6,0,1,0,0,0,2,12
"150510 Óbidos",1,0,3,0,0,0,0,0,0,4
"150530 Oriximiná",1,2,6,0,0,0,0,0,1,10
"150543 Ourilândia do Norte",0,0,14,0,1,0,0,0,0,15
"150548 Pacajá",1,0,7,0,0,0,0,0,1,9
"150550 Paragominas",1,2,12,2,1,0,0,0,15,33
"150553 Parauapebas",0,0,25,0,5,0,1,0,0,31
"150555 Pau D'Arco",0,1,1,0,0,0,0,0,0,2
"150563 Piçarra",1,0,2,0,0,0,0,0,0,3
"150565 Placas",0,0,2,0,0,0,1,0,0,3
"150580 Portel",1,0,0,0,0,0,0,0,0,1
"150600 Prainha",0,0,0,0,0,0,0,0,1,1
"150613 Redenção",2,0,21,0,1,0,0,0,48,72
"150616 Rio Maria",0,0,1,0,1,0,0,0,0,2
"150618 Rondon do Pará",0,0,5,0,0,0,0,0,2,7
"150619 Rurópolis",0,0,3,0,0,0,0,0,1,4
"150620 Salinópolis",3,0,1,0,0,0,0,0,0,4
"150630 Salvaterra",5,0,2,0,0,0,0,0,0,7
"150635 Santa Bárbara do Pará",4,0,1,0,0,0,0,0,1,6
"150650 Santa Izabel do Pará",2,0,0,0,0,0,0,0,7,9
"150655 Santa Luzia do Pará",0,0,1,0,0,0,0,0,1,2
"150658 Santa Maria das Barreiras",0,0,7,0,0,0,0,0,1,8
"150660 Santa Maria do Pará",1,0,2,0,2,0,0,0,2,7
"150670 Santana do Araguaia",1,0,7,0,1,0,0,0,1,10
"150680 Santarém",16,1,28,0,15,0,2,0,3,65
"150690 Santarém Novo",0,1,0,0,0,0,0,0,0,1
"150700 Santo Antônio do Tauá",0,0,1,0,0,0,0,0,1,2
"150710 São Caetano de Odivelas",0,0,0,0,0,0,0,0,1,1
"150715 São Domingos do Araguaia",0,0,4,0,0,0,0,0,3,7
"150720 São Domingos do Capim",0,0,1,0,0,0,0,0,0,1
"150730 São Félix do Xingu",3,0,16,0,1,0,0,0,5,25
"150740 São Francisco do Pará",0,0,3,0,0,0,0,0,1,4
"150745 São Geraldo do Araguaia",0,0,1,0,3,0,0,0,0,4
"150746 São João da Ponta",1,0,0,0,0,0,0,0,0,1
"150747 São João de Pirabas",0,0,1,0,0,0,0,0,1,2
"150750 São João do Araguaia",0,0,1,0,0,0,0,0,1,2
"150760 São Miguel do Guamá",1,0,2,0,1,0,0,0,5,9
"150770 São Sebastião da Boa Vista",0,0,1,0,0,0,0,0,0,1
"150775 Sapucaia",0,0,3,0,0,0,0,0,0,3
"150780 Senador José Porfírio",0,0,0,0,0,0,0,0,1,1
"150790 Soure",0,0,2,0,0,0,0,0,0,2
"150795 Tailândia",4,0,5,0,1,0,1,0,8,19
"150796 Terra Alta",2,1,0,0,0,0,0,0,0,3
"150797 Terra Santa",0,0,0,0,1,0,0,0,0,1
"150800 Tomé0Açu",0,0,4,0,0,0,0,0,1,5
"150803 Tracuateua",0,1,0,0,0,0,0,0,0,1
"150805 Trairão",0,0,0,0,1,0,1,0,3,5
"150808 Tucumã",0,0,6,0,2,0,0,0,2,10
"150810 Tucuruí",4,0,35,0,1,0,0,0,10,50
"150812 Ulianópolis",1,1,5,0,0,0,1,0,4,12
"150815 Uruará",0,0,2,0,0,0,0,0,0,2
"150820 Vigia",0,0,4,0,1,0,0,0,0,5
"150830 Viseu",0,0,2,0,0,0,0,0,0,2
"150835 Vitória do Xingu",0,0,2,0,1,0,0,0,0,3
"150840 Xinguara",3,0,5,0,3,0,0,0,7,18
"160010 Amapá",0,0,2,0,0,0,0,0,0,2
"160020 Calçoene",0,0,0,0,1,0,0,0,0,1
"160023 Ferreira Gomes",0,0,0,0,1,0,0,0,0,1
"160027 Laranjal do Jari",1,0,1,0,0,0,0,0,0,2
"160030 Macapá",20,11,27,0,12,0,1,0,0,71
"160040 Mazagão",1,0,0,0,0,0,0,0,0,1
"160053 Porto Grande",0,0,1,0,0,0,0,0,0,1
"160060 Santana",0,1,1,0,1,0,0,0,1,4
"160070 Tartarugalzinho",0,0,1,0,0,0,0,0,0,1
"170030 Aguiarnópolis",0,0,0,0,2,0,0,0,0,2
"170035 Aliança do Tocantins",1,0,0,0,0,0,0,0,0,1
"170040 Almas",0,0,2,0,0,0,0,0,0,2
"170070 Alvorada",0,0,1,0,4,0,1,0,0,6
"170100 Ananás",0,0,1,0,0,0,1,0,1,3
"170110 Aparecida do Rio Negro",0,0,2,0,6,0,0,0,1,9
"170130 Aragominas",0,0,1,0,1,0,0,0,0,2
"170190 Araguacema",1,0,1,0,3,0,0,0,1,6
"170200 Araguaçu",0,0,1,0,0,0,0,0,0,1
"170210 Araguaína",14,3,54,0,11,1,2,0,20,105
"170215 Araguanã",0,0,0,0,0,0,0,0,1,1
"170220 Araguatins",0,0,4,0,0,0,0,0,1,5
"170240 Arraias",2,0,2,0,0,0,0,0,0,4
"170255 Augustinópolis",1,0,3,0,3,0,0,0,1,8
"170290 Axixá do Tocantins",3,0,0,0,0,0,0,0,1,4
"170300 Babaçulândia",0,1,1,0,2,0,0,0,2,6
"170310 Barrolândia",0,0,0,0,1,0,0,0,0,1
"170320 Bernardo Sayão",0,0,1,0,0,0,0,0,0,1
"170360 Brasilândia do Tocantins",2,0,1,0,1,0,0,0,1,5
"170370 Brejinho de Nazaré",0,0,1,0,2,0,0,0,0,3
"170380 Buriti do Tocantins",1,0,0,0,0,0,0,0,2,3
"170384 Campos Lindos",1,0,1,0,0,0,0,0,1,3
"170386 Cariri do Tocantins",0,0,1,0,0,0,0,0,0,1
"170388 Carmolândia",0,0,2,0,0,0,0,0,1,3
"170389 Carrasco Bonito",0,0,2,0,0,0,0,0,0,2
"170390 Caseara",0,0,1,0,0,0,0,0,0,1
"170510 Chapada da Natividade",0,0,0,0,0,0,0,0,1,1
"170550 Colinas do Tocantins",1,1,3,0,2,0,0,0,12,19
"171670 Colméia",0,0,1,0,2,0,0,0,5,8
"170555 Combinado",0,0,1,0,0,0,0,0,0,1
"170600 Couto Magalhães",0,1,2,0,0,0,0,0,3,6
"170610 Cristalândia",1,0,2,0,2,0,0,0,0,5
"170625 Crixás do Tocantins",0,0,0,0,0,0,1,0,0,1
"170650 Darcinópolis",2,0,2,0,0,0,1,0,0,5
"170700 Dianópolis",1,0,1,0,0,0,0,0,3,5
"170710 Divinópolis do Tocantins",0,0,2,0,2,0,0,0,0,4
"170720 Dois Irmãos do Tocantins",0,0,1,0,1,0,0,0,1,3
"170730 Dueré",0,0,0,0,2,0,0,0,0,2
"170740 Esperantina",0,0,5,0,1,0,0,0,1,7
"170765 Figueirópolis",0,0,1,0,1,0,0,0,0,2
"170820 Formoso do Araguaia",0,0,1,0,0,0,2,0,0,3
"170830 Goianorte",0,0,0,0,3,0,0,0,0,3
"170900 Goiatins",0,0,0,0,0,0,0,0,2,2
"170930 Guaraí",0,0,3,0,1,1,0,0,2,7
"170950 Gurupi",6,3,29,0,22,1,1,1,4,67
"171050 Itacajá",0,0,1,0,0,0,0,0,0,1
"171070 Itaguatins",0,0,1,0,0,0,0,0,3,4
"171150 Jaú do Tocantins",0,0,1,0,0,0,0,0,0,1
"171190 Lagoa da Confusão",0,0,1,0,2,0,0,0,0,3
"171200 Lajeado",0,0,3,0,1,0,0,0,0,4
"171250 Marianópolis do Tocantins",1,0,2,0,0,0,0,0,3,6
"171320 Miracema do Tocantins",0,1,2,0,1,1,0,2,1,8
"171330 Miranorte",1,0,0,0,1,0,0,0,1,3
"171360 Monte do Carmo",0,0,1,0,1,0,0,0,1,3
"171370 Monte Santo do Tocantins",0,0,1,0,3,0,0,0,0,4
"171395 Muricilândia",1,0,0,0,0,0,0,0,0,1
"171420 Natividade",0,0,3,0,1,0,0,0,2,6
"171430 Nazaré",0,0,1,0,0,0,0,0,0,1
"171488 Nova Olinda",0,0,0,0,3,0,0,0,2,5
"171525 Novo Jardim",0,0,1,0,0,0,0,0,0,1
"171550 Oliveira de Fátima",0,0,1,0,0,0,0,0,0,1
"172100 Palmas",9,6,62,0,20,0,2,1,5,105
"171570 Palmeirante",0,0,1,0,0,0,0,0,2,3
"171380 Palmeiras do Tocantins",0,0,1,0,0,0,0,0,2,3
"171575 Palmeirópolis",0,0,1,0,0,0,1,0,0,2
"171610 Paraíso do Tocantins",3,0,1,0,10,0,0,0,2,16
"171620 Paranã",0,1,1,0,1,1,0,0,1,5
"171650 Pedro Afonso",0,0,2,0,2,0,0,0,0,4
"171660 Peixe",0,0,0,0,0,1,0,0,0,1
"171700 Pindorama do Tocantins",0,0,3,0,0,0,0,0,0,3
"171750 Pium",0,0,1,0,0,0,0,0,0,1
"171790 Ponte Alta do Tocantins",0,0,2,0,0,0,0,0,0,2
"171800 Porto Alegre do Tocantins",0,0,0,0,0,0,0,0,1,1
"171820 Porto Nacional",1,0,8,0,6,0,0,0,0,15
"171840 Presidente Kennedy",0,0,0,0,1,0,0,0,0,1
"171845 Pugmil",0,0,1,0,0,0,0,0,0,1
"171865 Rio da Conceição",0,0,0,0,0,0,0,0,1,1
"171870 Rio dos Bois",0,0,0,0,1,0,0,0,3,4
"171875 Rio Sono",0,0,1,0,0,0,0,0,0,1
"171880 Sampaio",0,0,1,0,0,0,0,0,0,1
"171884 Sandolândia",1,0,2,0,0,0,0,0,0,3
"171886 Santa Fé do Araguaia",1,0,1,0,0,0,0,0,0,2
"171900 Santa Tereza do Tocantins",0,0,0,0,0,0,0,0,1,1
"172015 São Félix do Tocantins",0,0,0,0,0,0,0,0,1,1
"172020 São Miguel do Tocantins",0,0,4,0,1,0,0,0,2,7
"172030 São Sebastião do Tocantins",0,0,1,0,0,0,0,0,0,1
"172049 São Valério",0,0,1,0,0,0,0,0,0,1
"172080 Sítio Novo do Tocantins",0,1,0,0,0,0,0,0,2,3
"172090 Taguatinga",0,0,2,0,0,0,0,0,2,4
"172097 Talismã",0,0,0,0,2,0,0,0,0,2
"172120 Tocantinópolis",0,0,3,0,0,0,0,0,0,3
"172125 Tupirama",0,0,1,0,0,0,0,0,0,1
"172130 Tupiratins",0,0,1,0,0,0,0,0,0,1
"172208 Wanderlândia",0,0,2,0,0,0,0,0,3,5
"172210 Xambioá",1,1,0,0,0,0,0,0,1,3
"170000 Município ignorado 0 TO",0,0,1,0,0,0,0,0,0,1
"210005 Açailândia",4,0,13,0,13,2,1,0,5,38
"210020 Alcântara",1,0,1,0,1,0,0,0,0,3
"210030 Aldeias Altas",0,0,0,0,0,0,0,0,3,3
"210040 Altamira do Maranhão",0,0,1,0,0,0,0,0,0,1
"210043 Alto Alegre do Maranhão",0,0,3,0,0,0,0,0,0,3
"210047 Alto Alegre do Pindaré",0,0,1,0,0,0,0,0,0,1
"210050 Alto Parnaíba",0,0,1,0,0,0,0,0,0,1
"210055 Amapá do Maranhão",0,0,1,0,0,0,0,0,0,1
"210060 Amarante do Maranhão",0,0,3,0,0,0,0,0,0,3
"210070 Anajatuba",0,0,1,0,0,0,0,0,1,2
"210080 Anapurus",0,0,1,0,0,0,0,0,1,2
"210083 Apicum0Açu",0,0,1,0,0,0,0,0,0,1
"210090 Araioses",1,0,3,0,0,1,0,0,0,5
"210095 Arame",1,0,4,0,1,0,0,0,2,8
"210100 Arari",0,0,1,0,0,0,0,0,0,1
"210120 Bacabal",3,1,11,0,1,0,0,0,11,27
"210125 Bacabeira",2,0,3,0,2,0,0,0,2,9
"210130 Bacuri",0,0,2,0,0,0,0,0,0,2
"210135 Bacurituba",0,0,1,0,0,0,0,0,0,1
"210140 Balsas",0,0,13,0,5,0,0,2,12,32
"210150 Barão de Grajaú",0,0,4,0,0,0,0,0,0,4
"210160 Barra do Corda",0,0,16,0,2,0,0,0,0,18
"210170 Barreirinhas",0,0,12,1,2,0,0,0,2,17
"210177 Bela Vista do Maranhão",0,0,0,0,0,0,0,0,1,1
"210190 Bequimão",0,0,1,0,0,0,0,0,1,2
"210197 Boa Vista do Gurupi",0,0,0,0,0,0,0,0,2,2
"210200 Bom Jardim",0,0,3,0,1,0,0,0,0,4
"210203 Bom Jesus das Selvas",0,0,0,0,1,1,0,0,0,2
"210210 Brejo",0,0,5,0,0,0,0,0,2,7
"210220 Buriti",0,0,4,0,0,0,0,0,2,6
"210230 Buriti Bravo",0,0,0,0,1,0,1,0,2,4
"210232 Buriticupu",1,0,17,0,4,0,1,0,0,23
"210235 Buritirana",0,0,4,0,0,0,0,0,0,4
"210240 Cajapió",0,0,2,0,0,0,0,0,0,2
"210255 Campestre do Maranhão",0,1,1,0,0,0,0,0,2,4
"210270 Cantanhede",0,0,4,0,0,0,0,0,0,4
"210275 Capinzal do Norte",0,0,1,0,0,0,0,0,3,4
"210290 Carutapera",0,1,0,0,0,0,0,0,0,1
"210300 Caxias",4,0,10,0,3,0,1,0,22,40
"210315 Centro do Guilherme",0,0,1,0,0,0,0,0,0,1
"210320 Chapadinha",0,1,5,0,0,0,1,0,10,17
"210325 Cidelândia",1,0,1,0,0,0,0,0,1,3
"210330 Codó",0,0,9,0,1,0,1,0,2,13
"210340 Coelho Neto",0,0,9,0,2,2,0,0,1,14
"210350 Colinas",1,0,4,0,2,0,1,0,0,8
"210360 Coroatá",4,2,10,0,1,0,0,0,2,19
"210370 Cururupu",0,0,4,0,0,0,0,0,4,8
"210375 Davinópolis",0,0,1,0,0,0,0,0,0,1
"210380 Dom Pedro",1,0,5,0,1,0,0,0,0,7
"210400 Esperantinópolis",1,0,3,0,1,0,0,0,0,5
"210405 Estreito",2,1,7,0,0,0,0,0,2,12
"210407 Feira Nova do Maranhão",0,0,0,0,1,0,0,0,0,1
"210408 Fernando Falcão",0,0,4,0,0,0,0,0,0,4
"210409 Formosa da Serra Negra",0,0,1,0,0,0,0,0,0,1
"210410 Fortaleza dos Nogueiras",0,0,5,0,1,0,0,0,0,6
"210420 Fortuna",0,0,1,0,5,0,0,0,0,6
"210440 Gonçalves Dias",0,0,1,0,0,0,0,0,0,1
"210455 Governador Edison Lobão",1,0,1,0,0,2,0,0,1,5
"210460 Governador Eugênio Barros",0,0,0,0,2,0,0,0,2,4
"210467 Governador Nunes Freire",1,1,13,0,0,0,0,0,1,16
"210470 Graça Aranha",0,0,2,0,0,0,0,0,0,2
"210480 Grajaú",6,1,16,0,1,0,1,0,4,29
"210490 Guimarães",0,0,2,0,0,0,0,0,0,2
"210500 Humberto de Campos",0,0,1,0,1,0,0,0,1,3
"210510 Icatu",0,0,1,0,0,0,0,0,0,1
"210520 Igarapé Grande",2,0,4,0,0,0,0,0,1,7
"210530 Imperatriz",18,8,87,0,12,2,0,1,43,171
"210535 Itaipava do Grajaú",0,0,3,0,0,0,0,0,0,3
"210540 Itapecuru Mirim",1,1,3,0,0,0,1,0,9,15
"210542 Itinga do Maranhão",0,0,1,0,0,0,0,0,2,3
"210547 Jenipapo dos Vieiras",0,0,0,0,1,0,0,0,0,1
"210550 João Lisboa",0,0,1,0,0,0,0,0,0,1
"210560 Joselândia",1,0,2,0,0,0,0,0,0,3
"210565 Junco do Maranhão",0,0,3,0,0,0,0,0,0,3
"210570 Lago da Pedra",0,0,3,0,0,0,0,0,8,11
"210580 Lago do Junco",0,0,1,0,0,0,0,0,0,1
"210594 Lago dos Rodrigues",0,0,2,0,0,0,0,0,0,2
"210590 Lago Verde",0,0,1,0,0,0,0,0,0,1
"210592 Lagoa do Mato",0,1,1,0,0,0,0,0,0,2
"210598 Lajeado Novo",0,0,1,0,0,0,0,0,2,3
"210600 Lima Campos",0,0,3,0,0,0,0,0,0,3
"210610 Loreto",0,1,1,0,0,0,0,0,0,2
"210620 Luís Domingues",0,0,2,0,0,0,0,0,0,2
"210632 Maracaçumé",0,0,2,0,0,0,0,0,0,2
"210637 Maranhãozinho",0,0,1,0,0,0,0,0,0,1
"210640 Mata Roma",0,0,4,0,0,0,0,0,1,5
"210650 Matinha",0,0,1,0,1,0,0,0,0,2
"210660 Matões",0,0,1,0,1,0,0,0,1,3
"210663 Matões do Norte",0,0,6,0,1,0,0,0,0,7
"210670 Mirador",0,0,3,0,0,0,0,0,0,3
"210675 Miranda do Norte",1,0,4,0,0,0,2,0,2,9
"210680 Mirinzal",0,0,1,0,1,0,0,0,0,2
"210690 Monção",0,0,2,0,0,0,0,0,1,3
"210700 Montes Altos",0,0,2,0,0,0,0,0,0,2
"210710 Morros",0,0,3,0,0,0,0,0,0,3
